Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Desc_superficie,Superficie_m2
2017,2,Eixample,7,la Dreta de l'Eixample,121-150 m²,3760
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,121-150 m²,2804
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,121-150 m²,1437
2017,2,Eixample,10,Sant Antoni,121-150 m²,1037
2017,3,Sants-Montjuïc,11,el Poble Sec,121-150 m²,133
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,121-150 m²,6
2017,3,Sants-Montjuïc,13,la Marina de Port,121-150 m²,20
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,121-150 m²,122
2017,3,Sants-Montjuïc,15,Hostafrancs,121-150 m²,96
2017,3,Sants-Montjuïc,16,la Bordeta,121-150 m²,41
2017,3,Sants-Montjuïc,17,Sants - Badal,121-150 m²,89
2017,3,Sants-Montjuïc,18,Sants,121-150 m²,551
2017,4,Les Corts,19,les Corts,121-150 m²,1561
2017,4,Les Corts,20,la Maternitat i Sant Ramon,121-150 m²,698
2017,4,Les Corts,21,Pedralbes,121-150 m²,1064
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",121-150 m²,299
2017,5,Sarrià-Sant Gervasi,23,Sarrià,121-150 m²,1550
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,121-150 m²,1263
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,121-150 m²,2145
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,121-150 m²,3592
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,121-150 m²,1726
2017,6,Gràcia,28,Vallcarca i els Penitents,121-150 m²,402
2017,6,Gràcia,29,el Coll,121-150 m²,66
2017,6,Gràcia,30,la Salut,121-150 m²,346
2017,6,Gràcia,31,la Vila de Gràcia,121-150 m²,1126
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,121-150 m²,753
2017,7,Horta-Guinardó,33,el Baix Guinardó,121-150 m²,300
2017,7,Horta-Guinardó,34,Can Baró,121-150 m²,66
2017,7,Horta-Guinardó,35,el Guinardó,121-150 m²,331
2017,7,Horta-Guinardó,36,la Font d'en Fargues,121-150 m²,246
2017,7,Horta-Guinardó,37,el Carmel,121-150 m²,63
2017,7,Horta-Guinardó,38,la Teixonera,121-150 m²,48
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,121-150 m²,22
2017,7,Horta-Guinardó,40,Montbau,121-150 m²,3
2017,7,Horta-Guinardó,41,la Vall d'Hebron,121-150 m²,199
2017,7,Horta-Guinardó,42,la Clota,121-150 m²,4
2017,7,Horta-Guinardó,43,Horta,121-150 m²,208
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,121-150 m²,90
2017,8,Nou Barris,45,Porta,121-150 m²,70
2017,8,Nou Barris,46,el Turó de la Peira,121-150 m²,4
2017,8,Nou Barris,47,Can Peguera,121-150 m²,4
2017,8,Nou Barris,48,la Guineueta,121-150 m²,0
2017,8,Nou Barris,49,Canyelles,121-150 m²,0
2017,8,Nou Barris,50,les Roquetes,121-150 m²,19
2017,8,Nou Barris,51,Verdun,121-150 m²,21
2017,8,Nou Barris,52,la Prosperitat,121-150 m²,69
2017,8,Nou Barris,53,la Trinitat Nova,121-150 m²,0
2017,8,Nou Barris,54,Torre Baró,121-150 m²,23
2017,8,Nou Barris,55,Ciutat Meridiana,121-150 m²,0
2017,8,Nou Barris,56,Vallbona,121-150 m²,7
2017,9,Sant Andreu,57,la Trinitat Vella,121-150 m²,13
2017,9,Sant Andreu,58,Baró de Viver,121-150 m²,1
2017,9,Sant Andreu,59,el Bon Pastor,121-150 m²,22
2017,9,Sant Andreu,60,Sant Andreu,121-150 m²,439
2017,9,Sant Andreu,61,la Sagrera,121-150 m²,99
2017,9,Sant Andreu,62,el Congrés i els Indians,121-150 m²,66
2017,9,Sant Andreu,63,Navas,121-150 m²,72
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,121-150 m²,215
2017,10,Sant Martí,65,el Clot,121-150 m²,371
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,121-150 m²,93
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,121-150 m²,923
2017,10,Sant Martí,68,el Poblenou,121-150 m²,423
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,121-150 m²,352
2017,10,Sant Martí,70,el Besòs i el Maresme,121-150 m²,8
2017,10,Sant Martí,71,Provençals del Poblenou,121-150 m²,35
2017,10,Sant Martí,72,Sant Martí de Provençals,121-150 m²,97
2017,10,Sant Martí,73,la Verneda i la Pau,121-150 m²,28
2017,1,Ciutat Vella,1,el Raval,151-210 m²,414
2017,1,Ciutat Vella,2,el Barri Gòtic,151-210 m²,722
2017,1,Ciutat Vella,3,la Barceloneta,151-210 m²,10
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",151-210 m²,493
2017,2,Eixample,5,el Fort Pienc,151-210 m²,291
2017,2,Eixample,6,la Sagrada Família,151-210 m²,135
2017,2,Eixample,7,la Dreta de l'Eixample,151-210 m²,4190
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,151-210 m²,1436
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,151-210 m²,508
2017,2,Eixample,10,Sant Antoni,151-210 m²,341
2017,3,Sants-Montjuïc,11,el Poble Sec,151-210 m²,23
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,151-210 m²,9
2017,3,Sants-Montjuïc,13,la Marina de Port,151-210 m²,7
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,151-210 m²,19
2017,3,Sants-Montjuïc,15,Hostafrancs,151-210 m²,32
2017,3,Sants-Montjuïc,16,la Bordeta,151-210 m²,11
2017,3,Sants-Montjuïc,17,Sants - Badal,151-210 m²,13
2017,3,Sants-Montjuïc,18,Sants,151-210 m²,132
2017,4,Les Corts,19,les Corts,151-210 m²,694
2017,4,Les Corts,20,la Maternitat i Sant Ramon,151-210 m²,101
2017,4,Les Corts,21,Pedralbes,151-210 m²,1510
