Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,2,7,Horta-Guinardó,43,Horta,200.7,2779.0,New
2019,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,,,New
2019,2,8,Nou Barris,45,Porta,,,New
2019,2,8,Nou Barris,46,el Turó de la Peira,,,New
2019,2,8,Nou Barris,47,Can Peguera,,,New
2019,2,8,Nou Barris,48,la Guineueta,,,New
2019,2,8,Nou Barris,49,Canyelles,,,New
2019,2,8,Nou Barris,50,les Roquetes,,,New
2019,2,8,Nou Barris,51,Verdun,,,New
2019,2,8,Nou Barris,52,la Prosperitat,,,New
2019,2,8,Nou Barris,53,la Trinitat Nova,,,New
2019,2,8,Nou Barris,54,Torre Baró,,,New
2019,2,8,Nou Barris,55,Ciutat Meridiana,,,New
2019,2,8,Nou Barris,56,Vallbona,,,New
2019,2,9,Sant Andreu,57,la Trinitat Vella,,,New
2019,2,9,Sant Andreu,58,Baró de Viver,,,New
2019,2,9,Sant Andreu,59,el Bon Pastor,,,New
2019,2,9,Sant Andreu,60,Sant Andreu,325.3,4194.2,New
2019,2,9,Sant Andreu,61,la Sagrera,,,New
2019,2,9,Sant Andreu,62,el Congrés i els Indians,,,New
2019,2,9,Sant Andreu,63,Navas,,,New
2019,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,411.5,4263.1,New
2019,2,10,Sant Martí,65,el Clot,301.8,4482.0,New
2019,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,,,New
2019,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,,,New
2019,2,10,Sant Martí,68,el Poblenou,,,New
2019,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,,,New
2019,2,10,Sant Martí,70,el Besòs i el Maresme,480.1,4309.5,New
2019,2,10,Sant Martí,71,Provençals del Poblenou,,,New
2019,2,10,Sant Martí,72,Sant Martí de Provençals,,,New
2019,2,10,Sant Martí,73,la Verneda i la Pau,,,New
2019,2,1,Ciutat Vella,1,el Raval,202.8,3693.6,Used
2019,2,1,Ciutat Vella,2,el Barri Gòtic,394.3,5270.7,Used
2019,2,1,Ciutat Vella,3,la Barceloneta,221.8,4549.5,Used
